title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Breaking Bad,2008,18+,9.4/10,100/100,1,0,0,0,9.4,100.0,Crime Drama Thriller,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Stranger Things,2016,16+,8.7/10,96/100,1,0,0,0,8.7,96.0,Drama Fantasy Horror,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Attack on Titan,2013,18+,9.0/10,95/100,1,1,0,0,9.0,95.0,Animation Action Adventure,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Better Call Saul,2015,18+,8.8/10,94/100,1,0,0,0,8.8,94.0,Crime Drama,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Dark,2017,16+,8.8/10,93/100,1,0,0,0,8.8,93.0,Crime Drama Mystery,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Avatar: The Last Airbender,2005,7+,9.3/10,93/100,1,0,1,0,9.3,93.0,Animation Action Adventure,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Peaky Blinders,2013,18+,8.8/10,93/100,1,0,0,0,8.8,93.0,Crime Drama,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
The Walking Dead,2010,18+,8.2/10,93/100,1,0,0,0,8.2,93.0,Drama Horror Thriller,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Black Mirror,2011,18+,8.8/10,92/100,1,0,0,0,8.8,92.0,Drama Mystery Sci-Fi,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
The Queen's Gambit,2020,18+,8.6/10,92/100,1,0,0,0,8.6,92.0,Drama,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
Mindhunter,2017,18+,8.6/10,90/100,1,0,0,0,8.6,90.0,Crime Drama Mystery,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
Community,2009,7+,8.5/10,90/100,1,1,1,0,8.5,90.0,Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Narcos,2015,18+,8.8/10,90/100,1,0,0,0,8.8,90.0,Biography Crime Drama,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
Shameless,2011,18+,8.5/10,90/100,1,1,1,0,8.5,90.0,Comedy Drama,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Money Heist,2017,18+,8.3/10,90/100,1,0,0,0,8.3,90.0,Action Crime Drama,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Daredevil,2015,18+,8.6/10,90/100,1,0,0,0,8.6,90.0,Action Crime Drama,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Lucifer,2016,16+,8.1/10,90/100,1,0,0,0,8.1,90.0,Crime Drama Fantasy,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
Supernatural,2005,16+,8.4/10,89/100,1,0,0,0,8.4,89.0,Drama Fantasy Horror,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
The Witcher,2019,18+,8.2/10,89/100,1,0,0,0,8.2,89.0,Action Adventure Drama,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Ozark,2017,18+,8.4/10,89/100,1,0,0,0,8.4,89.0,Crime Drama Thriller,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
